job_id,title,company,location,experience_band,salary_lpa,posted_date,skills_raw
JOB00001,Data Scientist,Lumen Digital,Bengaluru,1-3,11.2,2026-03-26,Excel|GenAI Tools|Kubernetes|MLOps|Machine Learning|PyTorch|Python|Statistics
JOB00002,Data Analyst,DataNest,Gurugram,3-5,14.4,2026-05-01,Excel|Looker|MLOps|Pandas|Power BI|SQL
JOB00003,Product Analyst,Meridian Softworks,Remote,3-5,16.4,2026-07-07,A/B Testing|Kubernetes|Power BI|Python|Redux|SQL|TypeScript
JOB00004,Data Scientist,DataNest,Mumbai,3-5,17.5,2026-04-14,Deep Learning|Excel|Kubernetes|Machine Learning|Pandas|Python|SQL|Scikit-learn|Statistics
JOB00005,ML Engineer,PixelForge,Bengaluru,1-3,14.3,2026-06-11,AWS|Deep Learning|Jenkins|MLOps|Machine Learning|PyTorch|SQL|TypeScript
JOB00006,DevOps Engineer,TrueNorth Data,Delhi NCR,5-8,25.4,2026-03-03,GCP|Jenkins|Kubernetes|Linux|Terraform
JOB00007,Data Scientist,Corestack,Noida,5-8,23.6,2026-06-01,Deep Learning|Excel|GenAI Tools|Kubernetes|MLOps|SQL|Scikit-learn|Statistics
JOB00008,Product Analyst,Northbridge Analytics,Remote,5-8,29.3,2026-07-27,A/B Testing|Excel|Kubernetes|MLOps|Power BI|Product Metrics|Statistics|TypeScript
JOB00009,Backend Developer,Arclight IT,Hyderabad,3-5,13.1,2026-04-15,AWS|Excel|GenAI Tools|MLOps|Microservices|Node.js|System Design|TypeScript
JOB00010,ML Engineer,PixelForge,Delhi NCR,5-8,32.2,2026-08-08,AWS|Excel|GenAI Tools|MLOps|Machine Learning|PyTorch|Python|SQL|TypeScript
JOB00011,Data Scientist,CloudPeak Technologies,Delhi NCR,3-5,21.0,2026-03-26,GenAI Tools|Kubernetes|Pandas|Python|Scikit-learn|Statistics
JOB00012,Data Engineer,Novara Systems,Hyderabad,1-3,8.1,2026-05-12,Airflow|Kafka|MLOps|SQL|Spark
JOB00013,MERN Stack Developer,Quantify Labs,Delhi NCR,3-5,15.3,2026-06-07,AWS|Express.js|GenAI Tools|JWT|JavaScript|Kubernetes|MLOps|MongoDB|Redux
JOB00014,Product Analyst,Ironclad Technologies,Mumbai,0-1,6.3,2026-06-28,A/B Testing|Excel|Kubernetes|MLOps|Power BI|Product Metrics|Python|Redux|Statistics|TypeScript
JOB00015,Data Scientist,Arclight IT,Mumbai,1-3,13.3,2026-08-17,AWS|Deep Learning|MLOps|Machine Learning|Pandas|Scikit-learn|TypeScript
JOB00016,Data Scientist,PixelForge,Remote,1-3,9.2,2026-08-09,Deep Learning|Jenkins|Kubernetes|MLOps|Pandas|SQL|Scikit-learn|TypeScript
JOB00017,Data Analyst,PixelForge,Hyderabad,3-5,17.2,2026-04-17,A/B Testing|Excel|GenAI Tools|Kubernetes|Looker|Pandas|SQL|Statistics|TypeScript
JOB00018,Business Analyst,Vertex Software,Chennai,1-3,6.2,2026-06-10,AWS|Excel|Jira|Power BI|SQL|Stakeholder Management|Statistics|Tableau
JOB00019,Data Analyst,BrightWave Solutions,Noida,1-3,7.7,2026-08-15,AWS|Excel|GenAI Tools|MLOps|Pandas|Power BI|SQL|Tableau|TypeScript
JOB00020,Data Analyst,Lumen Digital,Bengaluru,1-3,10.0,2026-08-23,A/B Testing|Excel|GenAI Tools|MLOps|Pandas|Python|Redux|SQL|Statistics|TypeScript
JOB00021,Business Analyst,Northbridge Analytics,Hyderabad,8+,35.4,2026-08-15,AWS|Excel|GenAI Tools|Kubernetes|MLOps|Power BI|Requirements Gathering|Stakeholder Management|Statistics|Tableau|TypeScript
JOB00022,MERN Stack Developer,Innotech Systems,Hyderabad,1-3,10.6,2026-04-08,AWS|Excel|Express.js|GenAI Tools|JavaScript|Kubernetes|REST API|Redux|TypeScript
